Journée;Match;Equipe1;Equipe2;Score1;Score2
1;1;PSG ; Caen ;;
1;2;Lille ; Rennes;;
1;3;Lyon ; Amiens ;;
1;4;Saint-Etienne; Guingamp ;;
1;5;Nice ; Reims ;;
1;6;Bordeaux ; Strasbourg ;;
1;7;Marseille ; Toulouse ;;
1;8;Montpellier ; Dijon ;;
1;9;Nantes ; Monaco ;;
1;10;Angers ; Nîmes;;
2;1;Amiens;Montpellier;;
2;2;Caen;Nice;;
2;3;Dijon;Nantes;;
2;4;Guingamp;Paris;;
2;5;Monaco;Lille;;
2;6;Nîmes;Marseille;;
2;7;Reims;Lyon;;
2;8;Rennes;Angers;;
2;9;Strasbourg;Saint-Etienne;;
2;10;Toulouse;Bordeaux;;
